schema|nome|args|grants|src_arquivos|seed_arquivos|migrations_n|outras_funcoes_que_citam
public|reordenar_gerencial_contas|p_contas text[]|authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/fluxo-caixa/gerencial/actions.ts src/components/financeiro/gerencial/contas-manager.tsx||1|
public|resultado_boletos|p_refs text[]|authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/faturamento-corp/actions.ts||1|
public|resultado_notas|p_refs text[]|authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/faturamento-corp/actions.ts||1|
public|solic_anexar|p_id bigint, p_anexos jsonb|authenticated:EXECUTE,service_role:EXECUTE|src/app/solicitacoes/actions.ts src/components/solicitacoes/drawer-solicitacao.tsx src/lib/solicitacoes/ciclo-de-vida.test.ts||4|
public|solic_anexo_excluir|p_anexo_id bigint|authenticated:EXECUTE,service_role:EXECUTE|src/app/solicitacoes/actions.ts src/lib/solicitacoes/schemas.ts src/lib/solicitacoes/ciclo-de-vida.test.ts||2|
public|solic_anexo_path|p_anexo_id bigint|authenticated:EXECUTE,service_role:EXECUTE|src/app/solicitacoes/actions.ts||2|
public|solic_aprovar|p_id bigint|authenticated:EXECUTE,service_role:EXECUTE|src/app/solicitacoes/actions.ts src/lib/solicitacoes/ciclo-de-vida.test.ts||2|
public|solic_caixa|p_escopo text|authenticated:EXECUTE,service_role:EXECUTE|src/lib/solicitacoes/rpc.ts src/lib/rpc-contrato.test.ts||5|
public|solic_cancelar|p_id bigint|authenticated:EXECUTE,service_role:EXECUTE|src/app/solicitacoes/actions.ts src/lib/api-externa/contrato-api-externa.test.ts||6|
public|solic_concluir|p_id bigint|authenticated:EXECUTE,service_role:EXECUTE|src/app/solicitacoes/actions.ts src/components/solicitacoes/board-solicitacoes.tsx src/lib/api-externa/contrato-api-externa.test.ts src/lib/rpc-contrato.test.ts||9|
public|solic_destinatarios||authenticated:EXECUTE,service_role:EXECUTE|src/app/admin/solicitacoes/page.tsx src/app/admin/api-externa/documentacao/page.tsx src/lib/solicitacoes/rpc.ts src/lib/rpc-contrato.test.ts||1|
public|solic_detalhe|p_id bigint|authenticated:EXECUTE,service_role:EXECUTE|src/app/solicitacoes/actions.ts src/lib/solicitacoes/rpc.ts src/lib/rpc-contrato.test.ts||8|public.solic_emails_envolvidos
public|solic_emails_envolvidos|p_id bigint|authenticated:EXECUTE,service_role:EXECUTE|src/app/solicitacoes/actions.ts src/app/api/externo/solicitacoes/route.ts src/lib/solicitacoes/schemas.ts src/lib/solicitacoes/rpc.ts src/lib/api-externa/http.ts||7|public.solic_aprovar
public|solic_emails_envolvidos_svc|p_id bigint|service_role:EXECUTE|src/app/api/externo/solicitacoes/route.ts src/app/api/externo/solicitacoes/[id]/cancelar/route.ts src/lib/api-externa/contrato-api-externa.test.ts src/lib/api-externa/http.ts||1|
public|solic_minhas||authenticated:EXECUTE,service_role:EXECUTE|src/lib/solicitacoes/rpc.ts src/lib/rpc-contrato.test.ts||5|
public|solic_minhas_pendencias||authenticated:EXECUTE,service_role:EXECUTE|src/lib/solicitacoes/rpc.ts src/lib/rpc-contrato.test.ts||4|
public|solic_movimentacoes||authenticated:EXECUTE,service_role:EXECUTE|src/lib/solicitacoes/schemas.ts src/lib/solicitacoes/rpc.ts src/lib/solicitacoes/ciclo-de-vida.test.ts src/lib/rpc-contrato.test.ts||2|
public|solic_promover_anexos|p_solicitacao_id bigint, p_de_para jsonb|authenticated:EXECUTE,service_role:EXECUTE|src/app/solicitacoes/actions.ts||1|
public|solic_rejeitar|p_id bigint, p_justificativa text|authenticated:EXECUTE,service_role:EXECUTE|src/app/solicitacoes/actions.ts||5|
public|solic_tipos_abertura||authenticated:EXECUTE,service_role:EXECUTE|src/lib/solicitacoes/rpc.ts src/lib/rpc-contrato.test.ts||4|
public|solic_tipos_api|p_chave_id bigint|service_role:EXECUTE|src/app/admin/api-externa/documentacao/page.tsx src/app/api/externo/tipos/route.ts src/lib/api-externa/contrato-api-externa.test.ts src/lib/api-externa/http.ts||5|
public|solic_tipos_documentacao||authenticated:EXECUTE,service_role:EXECUTE|src/app/admin/api-externa/documentacao/page.tsx src/lib/solicitacoes/rpc.ts src/lib/rpc-contrato.test.ts||1|
public|solicitar_acesso|p_email text, p_nome text|authenticated:EXECUTE,anon:EXECUTE,service_role:EXECUTE|src/app/solicitar-acesso/actions.test.ts src/app/solicitar-acesso/actions.ts src/types/database.ts src/lib/rpc-contrato.test.ts||3|public.solicitar_acesso_admin
public|solicitar_acesso_admin|p_email text, p_nome text|service_role:EXECUTE|src/app/solicitar-acesso/actions.test.ts src/app/solicitar-acesso/actions.ts||1|
public|status_demonstrativo_competencia||service_role:EXECUTE|src/app/admin/uploads/actions.ts src/lib/schemas-rpc.ts||1|
public|status_lancamentos_movimentacao||service_role:EXECUTE|src/app/admin/uploads/actions.ts src/lib/dre/ultima-carga-movimentacao.ts||1|
public|status_pessoas||service_role:EXECUTE|src/app/admin/uploads/actions.ts||1|
public|status_titulos_em_aberto||service_role:EXECUTE|src/app/admin/uploads/actions.ts||1|
public|transform_raw_to_analytics||service_role:EXECUTE|src/types/database.ts|supabase/seed/seed.ts|9|public.promover_carga_vendas
public|truncar_demonstrativo_competencia||service_role:EXECUTE|src/app/admin/uploads/actions.ts||1|
public|truncar_lancamentos||service_role:EXECUTE|src/app/admin/uploads/actions.ts src/types/database.ts src/lib/carga/lancamentos.ts||3|
public|truncar_lancamentos_movimentacao||service_role:EXECUTE|src/app/admin/uploads/actions.ts|supabase/seed/seed-fluxo-caixa.ts|1|
public|truncar_titulos_em_aberto||service_role:EXECUTE|src/app/admin/uploads/actions.ts|supabase/seed/seed-fluxo-caixa.ts|1|
public|truncate_dynamic_tables||service_role:EXECUTE|src/app/admin/uploads/actions.ts src/types/database.ts src/lib/rpc-contrato.test.ts|supabase/seed/seed.ts|6|
public|update_gerencial_conta|p_conta text, p_updates jsonb|authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/fluxo-caixa/gerencial/actions.ts||1|
public|update_gerencial_lancamento|p_id bigint, p_updates jsonb|authenticated:EXECUTE,service_role:EXECUTE,authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/fluxo-caixa/gerencial/actions.ts||4|
public|update_gerencial_lancamento|p_id bigint, p_updates jsonb, p_esperado_atualizado_em timestamp with time zone|authenticated:EXECUTE,service_role:EXECUTE,authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/fluxo-caixa/gerencial/actions.ts||4|
public|update_gerencial_saldo|p_conta text, p_saldo numeric|authenticated:EXECUTE,service_role:EXECUTE,authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/fluxo-caixa/gerencial/actions.ts||3|
public|update_gerencial_saldo|p_conta text, p_saldo numeric, p_data_saldo date|authenticated:EXECUTE,service_role:EXECUTE,authenticated:EXECUTE,service_role:EXECUTE|src/app/financeiro/fluxo-caixa/gerencial/actions.ts||3|
public|validar_carga_pessoas||service_role:EXECUTE|src/app/admin/uploads/actions.ts||1|
public|validar_carga_staging||service_role:EXECUTE|src/app/admin/uploads/actions.ts src/lib/rpc-contrato.test.ts src/lib/schemas-rpc.ts||4|
